WesternProvince,CentralProvince,SouthernProvince,SabaragamuwaProvince,EasternProvince,NothernProvince,NothernWesternProvince,NorthCentralProvince,UvaProvince
Elapitiwela,Beliyakanda,Madakumbura,Bambarabotuwegkanda,,Taddankulam,,, Bolgalle
Elapitiyala,Bembiya,Madametota,Bambaragala,,Tadduvankoddi,,, Boliyadda
Eliwila,Beragama,Madawala,Bambaragama,,Thaddankulam,,, Bolyadda
Ellakkala,Beravilla,Maddegama,Bambaragastenna,,Thaiyiddi,,, Bootagolla
Ellalamulla,Berawila,Maddumagegoda,Bampane,,Thalaiady,,, Bopattakivula
Ellangala,Bibila,Madihe East,Bamunagammana,,Talaimannar,,, Bopattakiwula
Elluvapitiya,Bobella,Madihe West,Bamunaulla,,Thalladi,,, Bopitiya
Elston,Bodikotuwa,Madipola,Banagoda,,Thaalvupadu,,, Boragas
Eluwapitiya,Bogahapitiya,Madipola Sinhalabage,Basnagala,,Thamaraivillu,,, Boragasketiya
Embaraluwa,Bogambara,Mirissa,Basnagoda,,Thampa Gramam,,, Boragoda Vidiya
Enderamulla,Bogamuwa,Nabadova,Batadure,,Thampalai,,, Boralanda
Epambula,Bogawantalawa,Nabadowa,Bataendiriya,,Thampalakad,,, Bowela
Epamulla,Bogawela,Nadiganwela,Batakada,,Thampanaikkulam,,, Bubula
Erabadda,Bokalawela,Nagahagoda,Batambure,,Thampanaikkulam East,,, Buddama
Erabedda,Bokkawala,Nagalawewa,Batangala,,Thampattai Muthalikkattu,,, Budugakanda
Erepolagodella,Bolagandawela,Nagoda,Batatota,,Thanankilappu,,, Budurapota
Erewwala,Bolepe,Naguliadda,Batawala,,Tanakkankulam,,, Bulathwatta
Essella,Bombure,Nagulliyadda,Batayaya,,Thaandikkulam,,, Bulatwatta
Eswatta,Bomure,Naiduwa,Batepola,,Tanduvan,,, Bulatwelgoda
Etgala,Bopana,Nakanda,Batewela,,Thankodai,,, Bulliyadda
Etikehelgalla,Bopegammedda,Nakandawala,Batgangoda,,Tanmakkerni,,, Bulugahadena
Ettukal,Bopitiya,Obadagahadeniya,Batugedara,,Thannipavilan Kudiyiruppu,,, Bulugahalanda
Ettukala,Boragahamaditta,Obadawatta,Batugedera,,Thanneer Uttu,,, Bulupitiya
Etulkotte,Boruwagama,Okandeyaya,Batupitiya,,Thaantalkulam,,, Bummane
Evariwatta,Botota,Okawala,Batuwana,,Tharakundu,,, Butagolla
Ewariwatta,Bowala,Okewelagoda,Batuwatta,,Tharanikkulam,,, Buttala
Fort (Colombo),Bowatta,Olagama,Batuwita,,"Thavadi, Thavalai Iyattalai",,, Dadayampola
Galagedara,Bowatura,Olagama,Beddawala,,Thavasikulam,,, Dadayantalawa
Galahitiyawa,Boyagama,Olaganduwa,Belgoda,,Thavasiyakulam,,, Dahagoniya
Galboda,Brookside,Oligoda,Beligala,,Thavasiyur,,, Dalohogalla
Galborella,Bulanawewa,Oluara,Beligammana,,Thayilan Kudiyiruppu,,, Damanegama
Galedanda,Bulatwelkandura,Olupeliya,Beligoda,,Thandikkulam,,, Damanwara
Galewatta,Bulugahapitiya,Omatta,Beligodapitiya,,Tellippalai,,, Dambagahamaditta
Galgamuwa,Bulugolla,Opata,Belihul Oya,,Thunukkai,,, Dambagahapattiya
Galgomuwa,Bulukohotenna,Oture,Belihulwana,,Thunnalai,,, Dambagahapitiya
Galhena,Bulumulla,Ovilikanda,Beliketiya,,Tharmapuram,,, Dambagahawela
Galhetiya Grand Pass,Butalanda,Ovilla,Belimaliyadda,,Thekilpadantan,,, Dambagalla
Habarakada,Butawatta,Ovitipana,Bellangama,,Thekkuluthu,,, Dambakota
Haddagoda,Buwelikada,Owilana,Bellankanda,,Telliyankudiyiruppu,,, Dambawelagama
Hakgalla,Campion,Owilikanda,Beminiwatta,,Thennamaravadi,,, Dambawinna
Hakkurukumbura,Clodagh Eastern Colony,Owilla,Bendaluwa,,Thenniyankulam,,, Dambewela
Hakurukumbura,Dadahogama,Owitigamuwa,Beragala,,Thaentookki,,, Damunuwinna
Hakwadunna,Dadohagama,Owitipana,Berannawa,,Thaenudaiyan,,, Danagirigama
Halanduruwa,Dagampitiya,Padavkema,Berendeniya,,Thanakkarukurichchi,,, Dandugala
Halapitiya,Dagewilla,Paddapitiya,Berenduwa,,Tharmakundu,,, Dandugalla
Halawegoda,Dalupota,Padilikokmaduwa,Berranawa,,Thatchchanthoppu,,, Danigala
Halgampitiya,Daluwela,Paduanga,Beruwala,,Thattantotam,,, Daragala
Hanwella,Damana,Pahajjawa,Betmegedara,,Thavasiyur,,, Darkumbura
Hokandara,Dambagahamada,Pahala Aturaliya,Bewila,,Thevanpaddi,,, Davuldena
Horana,Dambagahamuduna,Pahala Ganegama,Bewilehena,,Thikkam,,, Dawatagolla
Homagama,Dambagolla,Pahala Keembiya,Bibila,,Thikkoddaimadu,,, Dawategama
Iddagoda,Dambagolla,Radagoda,Bibilegama,,Thimilarmadam,,, Debara Ara
Ihala Hewessa,Dambalagala Colony,Radaniara,Binnegama,,Terankandal,,, Debedda
Ihala Imbulgoda,Dambarawa,Radawela,Bintenigolla,,Therumurikandi,,, Debeddekiula
Ihala Karannagoda,Dambarawa,Radompola,Bisowela,,Thettakkuli,,, Deekiligolla
Ihala Naragala,Dambe,Rajapuragoda,Bodawala,,Thettavadimarutankulam,,, Degalaramba
Ihala Neboda,Dambul,Rajjamana,Bodimalgoda,,Tirunelveli East,,, Dehiattawala
Ihala Wadugoda,Dambulla,Rajjammana,Bodimaluwa,,Tirunelveli West,,, Dehiatteyaya
Ihala Welgama,Dambullagama,Rallagerotawewa,Bogahakumbura,,Tirunelveli,,, Dehigama
Ihalapanangala,Damunumeya,Rallerotawewa,Bogahakumburuwela,,Thiruvadinilayam,,, Dehigolla
Ihalayagoda,Damunumulla,Rathgama,Bogala,,Thiruvaiyaru,,, Dehikinda
Ingiriya,Damunupola,Sahabandukokmaduwa,Bogamuwa,,Thottakadu,,, Dehipola
Ja-Ela,Damunupola North,Samodagama,Bogoda-aramba,,Tholakaddy,,, Dehivinna
Jaligoda,Dandenikumbura,Sapugahayaya,Bohara,,Thondaimanaru,,, Deliwa
Jaltara,Dankanda,Sapugoda,Bohettiya,,Thoppu,,, Dematan-Ella
Jambugaswadiya,Danture,Sapugodawela,Bohora,,Thullukudi Kudiyiruppu,,, Dematapelessa
Jambureliya,Dara-oya,Saputantirikanda,Bokolamulla,,Thumpalai,,, Demettanella
Jawatta,Daskara,Seenimodera,Bolagama,,Thumpankerni,,, Demodara
Josnell,Daulagala,Sigiriya,Boltumbe,,Thunnalai,,, Demoderawatta
Kirindiwela,Dawatagahamulatenna,Silvetgama,Bopetta,,Thunavy,,, Denagiriya
Kadawatha,Dedunupitiya,Sinigama,Bopitigoda,,Thuvarankerni,,, Detagamuwa
Kalutara,Dehianga,Talagahadiwela,Bopitiya,,Udaiyadi,,, Dewatagolla
Kumbuka,Dehiattawala,Talagasgoda,Boralankanda,,Udayarsamalankulam,,, Dewatura
Kahatapitiya,Dehideniya,Talagaspe,Boranjamuwa,,Udumbagal,,, Dewitotawela
Kiribathgoda,Dehideniya Madige,Talahagama,Boruggamuwa,,Udaiyarthurai,,, Deyiyannewela
Kottawa,Dehigahatule,Talalla North,Bossella,,Udupattukkandal,,, Diganatenna
Kaduwela,Dehigama,Talalla South,Botiyatenna,,Udupiddy,,, Dijjulana
Kaubedda,Dehigastenna,Talamporuwa,Bowalgaha,,Uduthurai,,, Dikirigolla
Kandana Kotahena,Dehintalawa,Talangalla,Bowatta,,Uduvil,,, Dikkapitiya
Labugama,Dehipagoda,Talangamuwa,Boyagama,,Uduveli,,, Dikwella
Ladduwa,Dehipe,Talangomuwa,Boyagoda,,Ukkulankulam,,, Dikwellagama
Langana,Dehipitiya,Talanwela,Budawatta,,Ulukkulam,,, Dikyaya
Lansiyawatta,Deiannewela,Telijjawila,Budunwela,,Uluvaneri,,, Dimbulamura
Lathpandura,Deiyannewela,Thawalama,Bulatgama,,Umaneri,,, Dimbulana
Latpandura,Dekinda,Uda Ambala,Bulathkohupitiya,,Umayartuvarankulam,,, Dimbulgahagedara
Laulupitiya,Deldeniya,Uda Aparekka,Bulatkohupitiya,,Unchalkaddi,,, Divitotawela
Lenagala,Delgasyaya,Udabalgama,Bulatwatta,,Upparu,,, Diwulgahagedara
Lenewara,Deliwela,Udabatgama,Bulatwelgoda,,Uppukkulam,,, Diyabetma
